,replies,handles
0, @HarishDixit20,@HarishDixit20
1, @SanjayP50053283,@SanjayP50053283
2, @VijayKumarBH221,@VijayKumarBH221
3, @JavedAlamPES6,@JavedAlamPES6
4, @isweta_Roy @Ashutos02981088,@isweta_Roy
5, @Shojaul1,@Shojaul1
7, @CALLMECHINTU,@CALLMECHINTU
8, @suraj_bhatt1,@suraj_bhatt1
10, @Satyend11371050,@Satyend11371050
11, @iamdchandan,@iamdchandan
13, @ddtulsiani,@ddtulsiani
14, @bishtmahendra05,@bishtmahendra05
15, @chaterpati123,@chaterpati123
16, @Rajpootbrijbhan,@Rajpootbrijbhan
17, @KumarAblesh @Rohit00068,@KumarAblesh
18, @jameel_akhatar,@jameel_akhatar
20, @kumarablesh,@kumarablesh
21, @I_Bhupendra11,@I_Bhupendra11
22, @shneha_vv,@shneha_vv
23," @EarthAnshu 
@tv26newslive",@EarthAnshu
24, @Prajjval_ @ModiYug_,@Prajjval_
25, @praveensingh996,@praveensingh996
26, @indyannn,@indyannn
27, @Kpjayswal_BJP,@Kpjayswal_BJP
28, 👉@imvishalishu,@imvishalishu
29, @MDArif13051973 @Ashish_Ashirwad,@MDArif13051973
30, @Rajrockstarsing Done,@Rajrockstarsing
31, @DSU73Yei5FepuCt,@DSU73Yei5FepuCt
32, @sanjaybpatil,@sanjaybpatil
34, @l_baswal @shabdnirantar,@l_baswal
35, @ManvendraSeng,@ManvendraSeng
36, @The_Mahaveer_ 💯 Follow Back,@The_Mahaveer_
37, @shambhukumar10,@shambhukumar10
38, @mahipal96803858,@mahipal96803858
39, @SachinV93259133,@SachinV93259133
40, @satender11,@satender11
41, @Gurmeet83116953 Ifb,@Gurmeet83116953
42," @RamakantAazad Oh yes.
But please take precautions about
""Anti National Elements"" should be throwing away. Okay",@RamakantAazad
43, @RamakantAazad,@RamakantAazad
44, @Khandelwal021,@Khandelwal021
45, @Abhishe48616173 @MukeshFirst,@Abhishe48616173
47, @Abhishe48616173,@Abhishe48616173
48, @vpandey254,@vpandey254
49, @AKChandra14  Andhbhkt please follow naa kre 🙏🙏,@AKChandra14
50, @UmarAli88054538 fb 💯,@UmarAli88054538
51, @FMonisquraishi1 @PoswalDashrath,@FMonisquraishi1
53, @sharma1028,@sharma1028
54, @FMonisquraishi1 💯%fb,@FMonisquraishi1
55, @Sharma_KrishnaK,@Sharma_KrishnaK
57, @mukeshsurana,@mukeshsurana
58, @kailashchoudhr7,@kailashchoudhr7
59, @Shailendrak390,@Shailendrak390
60, @HemantYadavv 100 % follow back,@HemantYadavv
61, @skuldeepkss @gouravraghu206,@skuldeepkss
62, @imritikroushan @rss_vineet,@imritikroushan
63," @HemantYadavv 🙏🤝🤝

जो जो फॉलो करेगा उसे 10 मिनट के अंदर फॉलो बैक मिलेगा अगर नहीं मिला तो अनफॉलो कर देना",@HemantYadavv
64, @skuldeepkss,@skuldeepkss
65, @manis_misra,@manis_misra
67, @ssdsa108 @TheHarshNamdev_,@ssdsa108
68, @ssdsa108 @bimlendra_in,@ssdsa108
69, @Devyadav145,@Devyadav145
70," @T_K_Chauhan 

🌺🌻🌼🌹🌺🌻🌼🌹
🌸 🌻 ❤🌺🌻🌼🌹🌺
💯💯💯💯💯💯💯💯💯💯💯💯💯% FOLLOW BACK",@T_K_Chauhan
71, @Rajrockstarsing @RajveerSarvaiy3,@Rajrockstarsing
72, @Rajrockstarsing @gorishankarINC  #100% #Follow_Back,@Rajrockstarsing
73, @HumsafarAshu,@HumsafarAshu
74, @Rajeevdut,@Rajeevdut
75, @Rajrockstarsing,@Rajrockstarsing
76, @Prajjval_ @CuteShivani4,@Prajjval_
77," Jai Shree Ram,  Vande Matram and Bharat Mata ki Jai 

@LDMago2",@LDMago2
78, @Rishabh67960515,@Rishabh67960515
80, @Prajjval_,@Prajjval_
